standard_type,standard_size,cts_specification,ring_oz_specification,chemical,cooking,incoterms,packing,price,unit,active_date,week,month,quarter,year,month_number,quarter_number
Sú,31/40,6X26,20+6,Treated,Cooked,DDP LA,Ring,10.49,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Treated,Cooked,DDP New York,Ring,10.56,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Treated,Cooked,DDP Atlanta,Ring,11.11,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Treated,Cooked,DDP LA,Ring,10.86,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Treated,Cooked,DDP New York,Ring,10.93,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Treated,Cooked,FOB Toronto,Ring,10.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Treated,Cooked,FOB Vancouver,Ring,10.61,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Chemical free,Cooked,FOB Toronto,Ring,11.34,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Chemical free,Cooked,FOB Vancouver,Ring,11.13,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Chemical free,Cooked,DDP Atlanta,Ring,11.64,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Chemical free,Cooked,DDP LA,Ring,11.39,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X26,20+6,Chemical free,Cooked,DDP New York,Ring,11.46,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Chemical free,Cooked,DDP Atlanta,Ring,12.09,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Chemical free,Cooked,DDP LA,Ring,11.84,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Chemical free,Cooked,DDP New York,Ring,11.91,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Chemical free,Cooked,FOB Toronto,Ring,11.79,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X26,20+6,Chemical free,Cooked,FOB Vancouver,Ring,11.58,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X40,32+8,Treated,Cooked,FOB Toronto,Ring,16.67,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X40,32+8,Treated,Cooked,FOB Vancouver,Ring,16.51,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X40,32+8,Treated,Cooked,DDP Atlanta,Ring,17.1,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X40,32+8,Treated,Cooked,DDP New York,Ring,16.95,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X40,32+8,Treated,Cooked,DDP Atlanta,Ring,17.67,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X40,32+8,Treated,Cooked,DDP New York,Ring,17.52,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X40,32+8,Treated,Cooked,FOB Toronto,Ring,17.23,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X40,32+8,Treated,Cooked,FOB Vancouver,Ring,17.07,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X40,32+8,Chemical free,Cooked,FOB Toronto,Ring,18.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X40,32+8,Chemical free,Cooked,FOB Vancouver,Ring,17.9,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X40,32+8,Chemical free,Cooked,DDP Atlanta,Ring,18.52,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X40,32+8,Chemical free,Cooked,DDP New York,Ring,18.37,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X40,32+8,Chemical free,Cooked,DDP Atlanta,Ring,19.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X40,32+8,Chemical free,Cooked,DDP New York,Ring,19.1,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X40,32+8,Chemical free,Cooked,FOB Toronto,Ring,18.77,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X40,32+8,Chemical free,Cooked,FOB Vancouver,Ring,18.61,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X9,6+3,Treated,Cooked,DDP Atlanta,Ring,3.59,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X9,6+3,Treated,Cooked,DDP Atlanta,Ring,3.7,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X9,6+3,Chemical free,Cooked,DDP Atlanta,Ring,3.86,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X9,6+3,Chemical free,Cooked,DDP Atlanta,Ring,3.99,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Treated,Cooked,FOB Toronto,Ring,14.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Treated,Cooked,FOB Vancouver,Ring,14.59,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
